App,Category,Rating,Installs,tipo,Price,Content_Rating,Genres,Last_Updated,Current_Ver,Android_Ver
31,0,4.1,50000.0,0,0.0,0.0,0,27,25,3
32,0,4.5,100000.0,0,0.0,0.0,0,28,26,6
33,0,4.2,100000.0,0,0.0,0.0,0,29,27,5
34,0,4.7,10000.0,0,0.0,1.0,0,30,28,5
35,0,3.8,100000.0,0,0.0,0.0,0,31,29,5
36,0,4.7,500000.0,0,0.0,0.0,2,32,30,2
37,0,4.1,5000000.0,0,0.0,0.0,0,33,3,7
38,0,4.7,10000.0,0,0.0,0.0,0,34,31,0
39,0,4.0,500000.0,0,0.0,0.0,0,35,32,6
40,0,4.2,10000.0,0,0.0,0.0,0,36,33,0
41,0,4.5,100000.0,0,0.0,0.0,0,12,5,0
42,0,4.4,10000000.0,0,0.0,0.0,0,17,3,8
43,0,3.8,100000.0,0,0.0,0.0,2,37,34,5
44,0,4.2,10000.0,0,0.0,0.0,0,38,0,5
45,0,4.7,10000000.0,0,0.0,0.0,0,11,35,5
46,0,4.6,100000.0,0,0.0,0.0,0,39,28,5
47,0,4.2,100000.0,0,0.0,0.0,0,40,1,5
48,0,4.3,100000.0,0,0.0,0.0,0,41,5,3
49,1,4.2,100000.0,0,0.0,0.0,4,42,5,0
50,1,4.0,1000000.0,0,0.0,0.0,4,43,36,5
51,1,3.8,100000.0,0,0.0,0.0,4,43,37,5
52,1,4.6,1000000.0,0,0.0,0.0,4,17,3,8
53,1,3.9,100000.0,0,0.0,0.0,4,43,37,5
54,1,4.3,100000.0,0,0.0,0.0,4,11,17,5
55,1,4.9,100000.0,0,0.0,0.0,4,44,38,6
56,1,4.4,50000.0,0,0.0,0.0,4,45,39,2
57,1,4.2,100000.0,0,0.0,0.0,4,43,37,5
58,1,4.0,100000.0,0,0.0,0.0,4,46,40,9
59,1,3.9,100000.0,0,0.0,0.0,4,17,41,2
60,1,4.6,10000.0,0,0.0,0.0,4,47,42,0
61,1,4.9,100000.0,0,0.0,0.0,4,9,43,1
62,1,4.3,1000000.0,0,0.0,0.0,4,48,44,5
63,1,4.6,100000.0,0,0.0,0.0,4,49,45,6
64,1,4.9,100000.0,0,0.0,0.0,4,9,43,1
65,1,3.9,10000.0,0,0.0,0.0,4,17,46,2
66,1,4.0,50000.0,0,0.0,0.0,4,50,5,3
67,1,4.3,5000000.0,0,0.0,0.0,4,17,3,8
68,1,3.9,100000.0,0,0.0,0.0,4,51,3,8
69,1,4.2,5000000.0,0,0.0,0.0,4,52,47,0
70,1,4.8,5000000.0,0,0.0,0.0,4,32,48,0
71,1,3.6,500000.0,0,0.0,0.0,4,32,49,1
72,1,4.2,10000000.0,0,0.0,1.0,4,31,3,10
73,1,4.8,100000.0,0,0.0,0.0,4,45,50,7
74,1,4.8,500000.0,0,0.0,0.0,4,53,51,6
75,1,4.6,50000.0,0,0.0,0.0,4,7,31,6
76,1,4.5,100000.0,0,0.0,0.0,4,3,52,5
77,1,4.3,1000000.0,0,0.0,2.0,4,54,28,6
78,1,4.5,100000.0,0,0.0,0.0,4,55,28,5
79,1,4.9,1000000.0,0,0.0,0.0,4,56,53,5
80,1,3.9,50000.0,0,0.0,0.0,4,57,54,11
81,1,4.4,1000000.0,0,0.0,0.0,4,53,55,1
82,1,4.0,500000.0,0,0.0,0.0,4,17,56,10
83,1,4.3,100000.0,0,0.0,0.0,4,58,5,0
84,1,3.7,1000000.0,0,0.0,0.0,4,58,57,2
85,1,4.4,1000000.0,0,0.0,0.0,4,59,3,8
86,1,4.3,100000.0,0,0.0,0.0,4,45,58,3
87,1,3.2,100000.0,0,0.0,0.0,4,30,59,0
